"Qty","Value","Device","Parts","Library","Description","DIGIKEY","MF","MPN","OC_FARNELL","OC_NEWARK","PARTNO","PN",
"1","2X4_LOW_PROFILE_JUMPER","2X4_LOW_PROFILE_JUMPER","J3","Eurocard-HV-piezo-driver","","S5801-04-ND ","","","","","S5801-04-ND","",
"2","2X8_LOW_PROFILE_JUMPER","2X8_LOW_PROFILE_JUMPER","J2, J4","Eurocard-HV-piezo-driver","","NRPN082PAEN-RC ","","","","","NRPN082PAEN-RC","",
"1","AD5663R","AD5623R","DAC","Eurocard-HV-piezo-driver","","","","","","","AD5663RBRMZ-5-ND","",
"1","AD8421","AD8421","U7","Eurocard-HV-piezo-driver","","AD8421BRZ-ND","","","","","AD8421BRZ-ND","",
"1","ATB3225","ATB3225","T1","Eurocard-HV-piezo-driver","transformer. Use 445-8636-1-ND? Must check pinout -> pad","","","","","","445-8636-1-ND","",
"3","BNC-H","BNC-H","HV_OUT, MOD_IN, MON","Eurocard-HV-piezo-driver","BNC Connector.","12345","","","","","A32260-ND","",
"1","CRYSTAL-3.2-2.5","CRYSTAL-3.2-2.5","X2","Eurocard-HV-piezo-driver","","","","","","","","",
"1","CURRENT_BOOTLOADER3X3MM","CURRENT_BOOTLOADER3X3MM","3X3MM1","Eurocard-HV-piezo-driver","MKL02Z32 and MKL04Z32 bootloader chips for Teensy LC (MKL26) and Teensy 3.2 (MKL20D256) processors.","","","","","","","",
"30","100nF","C_MLCC_SMDCMLCC_0603","C2, C3, C4, C6, C8, C16, C18, C21, C24, C35, C38, C39, C40, C42, C47, C48, C54, C55, C56, C57, C58, C59, C60, C63, C65, C66, C68, C69, C70, C72","Eurocard-HV-piezo-driver","","","","","","","1276-1936-1-ND","",
"1","100nF","C_MLCC_SMDCMLCC_0603","C73","Eurocard-HV-piezo-driver","","","","","","","","",
"1","2.2nF","C_MLCC_SMDCMLCC_0603","C23","Eurocard-HV-piezo-driver","","","","","","","399-9040-1-ND","",
"1","470pF","C_MLCC_SMDCMLCC_0603","C9","Eurocard-HV-piezo-driver","","","","","","","1276-1094-1-ND","",
"1","47nF","C_MLCC_SMDCMLCC_0603","C19","Eurocard-HV-piezo-driver","","","","","","","445-14276-1-ND","",
"1","100pF","C_MLCC_SMDCMLCC_0805","C34","Eurocard-HV-piezo-driver","","","","","","","445-9112-1-ND","",
"20","10uF","C_MLCC_SMDCMLCC_0805","C1, C5, C7, C10, C15, C17, C20, C30, C31, C32, C33, C36, C37, C41, C50, C51, C52, C61, C62, C71","Eurocard-HV-piezo-driver","","","","","","","445-14417-1-ND","",
"2","10uF","C_MLCC_SMDCMLCC_0805","C64, C67","Eurocard-HV-piezo-driver","","","","","","","","",
"4","HV 10nF","C_MLCC_SMDCMLCC_1206","C43, C44, C45, C46","Eurocard-HV-piezo-driver","","","","","","","445-2291-1-ND","",
"4","HV 1nF","C_MLCC_SMDCMLCC_1206","C27, C28, C29, C49","Eurocard-HV-piezo-driver","","","","","","","445-2288-1-ND","",
"1","HV 22pF","C_MLCC_SMDCMLCC_1206","C11","Eurocard-HV-piezo-driver","","","","","","","709-1289-1-ND","",
"4","HV 100nF","C_MLCC_SMDCMLCC_1210","C12, C13, C22, C53","Eurocard-HV-piezo-driver","","","","","","","445-14941-1-ND","",
"1","HV 1uF","C_MLCC_SMDCMLCC_2220","C14","Eurocard-HV-piezo-driver","","","","","","","445-7998-1-ND","",
"2","220uF","C_POL_SMDF","C25, C26","Eurocard-HV-piezo-driver","","","","","","","PCE3955CT-ND","",
"4","Schottky","DIODE-SOD523","D3, D5, D6, D7","Eurocard-HV-piezo-driver","DIODE","","","","","","568-7397-1-ND","",
"1","MMBD3004S-7-F","DIODE_2CACA-SOT23","D1","Eurocard-HV-piezo-driver","2 Diodes - Cathode-Anode|Cathode-Anode","","","","","","MMBD3004S-FDICT-ND","",
"1","DRV2700","DRV2700","U1","Eurocard-HV-piezo-driver","","","","","","","296-41118-1-ND","",
"1","OPA2172","DUAL-OPAMP","U6","Eurocard-HV-piezo-driver","","296-38683-5-ND","","","","","296-38683-5-ND","",
"2","LM7171","LM7171","U3, U4","Eurocard-HV-piezo-driver","High speed, high output current OpAmp (Texas Instruments)","","","","","","LM7171BIMX/NOPBCT-ND","LM7171BIMX/NOPBCT-ND",
"11","1000k Ferrite","L_FERRITE_SMDLFERRITE_0603","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11","Eurocard-HV-piezo-driver","","","","","","","445-1548-1-ND","",
"1","MIC5205-3V","MIC5205","IC6","Eurocard-HV-piezo-driver","150mA Low noise LDO regulator","","","","","","576-1258-1-ND","",
"1","MIC5209","MIC5209","U2","Eurocard-HV-piezo-driver","MIC5209YU Adjustable regulator, 500mA.","","","","","","576-1277-ND","",
"1","MICRO-USB/1051330011","MICRO-USB/1051330011","USBCONN1","Eurocard-HV-piezo-driver","","","","","","","","",
