"Centroid Data for pc board: ""Eurocard-HV-piezo-driver.brd"" as of: 12/15/16 3:29 PM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
3X3MM1,Top,2.68,-9.75,0
C1,Top,2.005,-9.105,180
C2,Top,2.195,-9.115,0
C3,Top,2.36,-9.269,0
C4,Top,2.395,-9.325,0
C5,Top,1.61,-9.975,270
C6,Top,1.685,-9.965,270
C7,Top,2.13,-9.87,90
C8,Top,2.055,-9.87,90
C9,Top,3.425,-10.93,180
C10,Top,3.55,-10.815,180
C11,Top,1.91,-9.685,90
C12,Top,1.685,-9.36,90
C13,Top,1.445,-9.36,90
C14,Top,0.415,-9.335,90
C15,Top,0.78,-9.7,90
C16,Top,0.7,-9.71,90
C17,Top,0.382,-9.928,90
C18,Top,0.453,-9.925,90
C19,Top,0.265,-9.832,270
C20,Top,2.38,-9.095,270
C21,Top,2.28,-9.085,270
C22,Top,0.845,-9.36,90
C23,Top,1.8,-9.685,0
C24,Top,0.31,-8.815,180
C25,Top,4.295,-10.89,270
C26,Top,4.37,-10.415,270
C27,Top,0.605,-9.55,90
C28,Top,-0.31,-9.41,90
C29,Top,1.965,-9.335,90
C30,Top,0.407,-10.081,0
C31,Top,0.93,-9.76,90
C32,Top,2.158,-9.973,0
C33,Top,1.565,-10.08,0
C34,Top,0.23,-8.68,270
C35,Top,0.595,-8.565,0
C36,Top,0.28,-10.16,90
C37,Top,0.16,-10.125,0
C38,Top,0.17,-10.04,0
C39,Top,0.215,-9.985,0
C40,Top,2.862,-10.466,270
C41,Top,2.005,-9.185,0
C42,Top,2.14,-9.215,180
C43,Top,1.445,-9.535,90
C44,Top,1.445,-9.185,90
C45,Top,0.845,-9.535,90
C46,Top,0.845,-9.185,90
C47,Top,2.803,-10.466,270
C48,Top,2.05,-8.14,0
C49,Top,0.26,-9.71,0
C50,Top,1.74,-7.97,90
C51,Top,3.765,-10.74,90
C52,Top,3.73,-10.25,270
C53,Top,0.6,-9.36,90
C54,Top,4.06,-9.75,0
C55,Top,4.06,-9.65,0
C56,Top,4.06,-9.55,0
C57,Top,4.06,-9.45,0
C58,Top,2.372,-10.022,180
C59,Top,-0.085,-10.884,0
C60,Top,-0.287,-10.944,0
C61,Top,-0.072,-10.816,0
C62,Top,-0.316,-11.034,270
C63,Top,2.405,-9.545,270
C64,Top,2.989,-10.074,270
C65,Top,3.415,-8.89,90
C66,Top,3.52,-9.2,270
C67,Top,2.933,-10.378,90
C68,Top,2.569,-9.778,270
C69,Top,2.81,-9.81,270
C70,Top,2.44,-10.36,90
C71,Top,0.1,-9.74,180
C72,Top,-0.14,-9.71,90
C73,Top,2.918,-9.848,180
D1,Top,2,-9.51,180
D2,Top,0.72,-9.06,270
D3,Top,3.44,-9.105,0
D5,Top,1.995,-7.985,90
D6,Top,1.66,-7.97,90
D7,Top,4.049,-8.199,270
DAC,Top,0.1,-9.895,180
FID1,Top,-0.5,-11.55,0
FID2,Top,4.94,-11.55,0
FID3,Top,0.7,-7.86,0
FID4,Top,2.61,-8.12,0
IC6,Top,1.87,-7.97,90
L1,Top,2.195,-9.055,180
L2,Top,1.53,-9.965,90
L3,Top,2.2,-9.86,90
L4,Top,0.85,-9.77,90
L5,Top,0.473,-10.01,0
L6,Top,0.155,-10.2,0
L7,Top,3.85,-10.21,180
L8,Top,3.85,-10.78,180
L9,Top,-0.094,-10.975,270
L10,Top,-0.229,-10.995,0
L11,Top,3.111,-10.09,0
R1,Top,1.91,-8.14,0
R2,Top,0.09,-9.31,270
R3,Top,2.57,-9.4,90
R4,Top,1.87,-10.13,180
R5,Top,2.11,-9.145,90
R6,Top,0.975,-9.42,0
R7,Top,2.218,-9.254,90
R8,Top,0.255,-9.61,0
R9,Top,2.34,-9.217,180
R10,Top,2.04,-10.07,180
R11,Top,1.87,-10.07,180
R12,Top,1.805,-9.42,0
R13,Top,1.805,-9.3,0
R14,Top,1.565,-9.42,0
R15,Top,1.565,-9.3,0
R16,Top,0.725,-9.3,0
R17,Top,0.725,-9.42,0
R18,Top,0.975,-9.3,0
R19,Top,0.505,-9.55,90
R20,Top,0.645,-9.215,0
R21,Top,3.405,-9.2,270
R22,Top,0.06,-8.525,90
R23,Top,0.545,-9.93,90
R24,Top,0.125,-8.68,270
R25,Top,0.2,-9.83,270
R26,Top,-0.01,-8.68,90
R27,Top,3.465,-9.2,90
R28,Top,0.315,-8.525,90
R29,Top,0.445,-9.135,270
R30,Top,0.225,-8.525,90
R31,Top,3.445,-9.045,180
R32,Top,0.21,-9.43,180
R33,Top,3.445,-8.98,0
R34,Top,0.69,-8.765,0
R35,Top,4.37,-8.23,0
R36,Top,4.28,-8.2,270
R37,Top,3.018,-10.159,180
R38,Top,-0.29,-10.272,270
R39,Top,2.485,-9.55,0
R40,Top,-0.05,-9.91,270
R41,Top,0.1,-9.65,0
R42,Top,-0.22,-9.41,270
R43,Top,-0.22,-9.264,270
R44,Top,3.018,-10.224,180
R45,Top,0.32,-9.83,90
R46,Top,2.72,-10.555,90
R47,Top,3.14,-8.034,180
R48,Top,-0.08,-9.83,0
R49,Top,2.63,-9.63,0
R85,Top,-0.36,-10.273,90
REXT,Top,2.28,-9.57,90
RF_0A,Top,1.805,-9.63,180
RF_0B,Top,1.805,-9.74,180
RF_SHIELD,Top,2.239,-8.844,180
RI_0,Top,2,-9.685,270
SW1,Top,-0.05,-9.74,270
SW2,Top,3.41,-9.68,270
T1,Top,2.08,-9.335,270
T2,Top,0.09,-9.03,0
U1,Top,2.24,-9.405,270
U2,Top,3.655,-11.16,180
U3,Top,0.515,-9.74,0
U4,Top,1.87,-9.93,180
U5,Top,1.86,-8.29,0
U6,Top,0.445,-8.715,180
U7,Top,-0.235,-10.739,180
U8,Top,2.46,-9.43,90
U9,Top,2.69,-10.13,180
USBCONN1,Top,3.125,-11.1,0
X1,Top,-0.225,-9.995,90
X2,Top,2.4,-9.86,0
